AccountNumber,NMI,DeviceNumber,DeviceType,RegisterCode,RateTypeDescription,StartDate,EndDate,ProfileReadValue,RegisterReadValue,QualityFlag
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 12:00:00 AM,11/08/2025 12:29:59 AM,0.075,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 12:00:00 AM,11/08/2025 12:29:59 AM,0.213,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 12:30:00 AM,11/08/2025 12:59:59 AM,0.049,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 12:30:00 AM,11/08/2025 12:59:59 AM,0.312,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 01:00:00 AM,11/08/2025 01:29:59 AM,0.082,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 01:00:00 AM,11/08/2025 01:29:59 AM,0.538,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 01:30:00 AM,11/08/2025 01:59:59 AM,0.092,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 01:30:00 AM,11/08/2025 01:59:59 AM,0.243,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 02:00:00 AM,11/08/2025 02:29:59 AM,0.06,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 02:00:00 AM,11/08/2025 02:29:59 AM,0.215,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 02:30:00 AM,11/08/2025 02:59:59 AM,0.045,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 02:30:00 AM,11/08/2025 02:59:59 AM,0.453,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 03:00:00 AM,11/08/2025 03:29:59 AM,0.032,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 03:00:00 AM,11/08/2025 03:29:59 AM,0.299,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 03:30:00 AM,11/08/2025 03:59:59 AM,0.076,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 03:30:00 AM,11/08/2025 03:59:59 AM,0.472,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 04:00:00 AM,11/08/2025 04:29:59 AM,0.046,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 04:00:00 AM,11/08/2025 04:29:59 AM,0.495,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 04:30:00 AM,11/08/2025 04:59:59 AM,0.091,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 04:30:00 AM,11/08/2025 04:59:59 AM,0.203,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 05:00:00 AM,11/08/2025 05:29:59 AM,0.102,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 05:00:00 AM,11/08/2025 05:29:59 AM,0.549,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 05:30:00 AM,11/08/2025 05:59:59 AM,0.101,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 05:30:00 AM,11/08/2025 05:59:59 AM,0.278,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 06:00:00 AM,11/08/2025 06:29:59 AM,0.211,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 06:00:00 AM,11/08/2025 06:29:59 AM,0.0,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 06:30:00 AM,11/08/2025 06:59:59 AM,0.266,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 06:30:00 AM,11/08/2025 06:59:59 AM,0.0,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 07:00:00 AM,11/08/2025 07:29:59 AM,0.345,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 07:00:00 AM,11/08/2025 07:29:59 AM,0.0,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 07:30:00 AM,11/08/2025 07:59:59 AM,0.387,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#002,Controlledload,11/08/2025 07:30:00 AM,11/08/2025 07:59:59 AM,0.0,0,A
9000000001,90000000001,000000000009999999,MRIM,99999#001,Generalusage,11/08/2025 08:00:00 AM,11/08/2025 08:29:59 AM,0.399,0,A
